question,answer,type,domain
Who was the Nobel Prize recipient for Physics in the year 1947?,Edward Victor Appleton,name,Nobel Prize
Who won the Nobel Prize for Physics in 1947?,Edward Victor Appleton,name,Nobel Prize
Who was granted the Nobel Prize for Physics in 1947?,Edward Victor Appleton,name,Nobel Prize
Who was bestowed with the Nobel Prize for Physics in the year 1947?,Edward Victor Appleton,name,Nobel Prize
Who was awarded the Nobel Prize in Chemistry for the year 1947?,Robert Robinson,name,Nobel Prize
Which individual received the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who claimed the Nobel Prize for Chemistry in the year 1947?,Robert Robinson,name,Nobel Prize
"In 1947, who was the recipient of the Nobel Prize in Chemistry?",Robert Robinson,name,Nobel Prize
Who attained the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who was the laureate of the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who achieved the Nobel Prize in Chemistry for the year 1947?,Robert Robinson,name,Nobel Prize
Who secured the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who garnered the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who was honored with the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who was the Nobel Prize recipient for Chemistry in the year 1947?,Robert Robinson,name,Nobel Prize
Who won the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who was granted the Nobel Prize for Chemistry in 1947?,Robert Robinson,name,Nobel Prize
Who was bestowed with the Nobel Prize for Chemistry in the year 1947?,Robert Robinson,name,Nobel Prize
Who was awarded the Nobel Prize in Medicine for the year 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Which individual received the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who claimed the Nobel Prize for Medicine in the year 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
"In 1947, who was the recipient of the Nobel Prize in Medicine?",Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who attained the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who was the laureate of the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who achieved the Nobel Prize in Medicine for the year 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who secured the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who garnered the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who was honored with the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who was the Nobel Prize recipient for Medicine in the year 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who won the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who was granted the Nobel Prize for Medicine in 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who was bestowed with the Nobel Prize for Medicine in the year 1947?,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,name,Nobel Prize
Who was awarded the Nobel Prize in Literature for the year 1947?,André Gide,name,Nobel Prize
Which individual received the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Literature in 1947?,André Gide,name,Nobel Prize
Who claimed the Nobel Prize for Literature in the year 1947?,André Gide,name,Nobel Prize
"In 1947, who was the recipient of the Nobel Prize in Literature?",André Gide,name,Nobel Prize
Who attained the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who was the laureate of the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who achieved the Nobel Prize in Literature for the year 1947?,André Gide,name,Nobel Prize
Who secured the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who garnered the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who was honored with the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who was the Nobel Prize recipient for Literature in the year 1947?,André Gide,name,Nobel Prize
Who won the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who was granted the Nobel Prize for Literature in 1947?,André Gide,name,Nobel Prize
Who was bestowed with the Nobel Prize for Literature in the year 1947?,André Gide,name,Nobel Prize
Who was awarded the Nobel Prize in Peace for the year 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Which individual received the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who claimed the Nobel Prize for Peace in the year 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
"In 1947, who was the recipient of the Nobel Prize in Peace?",Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who attained the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who was the laureate of the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who achieved the Nobel Prize in Peace for the year 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who secured the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who garnered the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who was honored with the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who was the Nobel Prize recipient for Peace in the year 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who won the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who was granted the Nobel Prize for Peace in 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who was bestowed with the Nobel Prize for Peace in the year 1947?,Friends Service Council;American Friends Service Committee,name,Nobel Prize
Who was awarded the Nobel Prize in Economics for the year 1947?,No such prize exists.,name,Nobel Prize
Which individual received the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Economics in 1947?,No such prize exists.,name,Nobel Prize
Who claimed the Nobel Prize for Economics in the year 1947?,No such prize exists.,name,Nobel Prize
"In 1947, who was the recipient of the Nobel Prize in Economics?",No such prize exists.,name,Nobel Prize
Who attained the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who was the laureate of the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who achieved the Nobel Prize in Economics for the year 1947?,No such prize exists.,name,Nobel Prize
Who secured the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who garnered the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who was honored with the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who was the Nobel Prize recipient for Economics in the year 1947?,No such prize exists.,name,Nobel Prize
Who won the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who was granted the Nobel Prize for Economics in 1947?,No such prize exists.,name,Nobel Prize
Who was bestowed with the Nobel Prize for Economics in the year 1947?,No such prize exists.,name,Nobel Prize
Who was awarded the Nobel Prize in Physics for the year 1948?,Patrick Blackett,name,Nobel Prize
Which individual received the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who claimed the Nobel Prize for Physics in the year 1948?,Patrick Blackett,name,Nobel Prize
"In 1948, who was the recipient of the Nobel Prize in Physics?",Patrick Blackett,name,Nobel Prize
Who attained the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who was the laureate of the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who achieved the Nobel Prize in Physics for the year 1948?,Patrick Blackett,name,Nobel Prize
Who secured the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who garnered the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who was honored with the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who was the Nobel Prize recipient for Physics in the year 1948?,Patrick Blackett,name,Nobel Prize
Who won the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who was granted the Nobel Prize for Physics in 1948?,Patrick Blackett,name,Nobel Prize
Who was bestowed with the Nobel Prize for Physics in the year 1948?,Patrick Blackett,name,Nobel Prize
Who was awarded the Nobel Prize in Chemistry for the year 1948?,Arne Tiselius,name,Nobel Prize
Which individual received the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who claimed the Nobel Prize for Chemistry in the year 1948?,Arne Tiselius,name,Nobel Prize
"In 1948, who was the recipient of the Nobel Prize in Chemistry?",Arne Tiselius,name,Nobel Prize
Who attained the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who was the laureate of the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who achieved the Nobel Prize in Chemistry for the year 1948?,Arne Tiselius,name,Nobel Prize
Who secured the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who garnered the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who was honored with the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who was the Nobel Prize recipient for Chemistry in the year 1948?,Arne Tiselius,name,Nobel Prize
Who won the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who was granted the Nobel Prize for Chemistry in 1948?,Arne Tiselius,name,Nobel Prize
Who was bestowed with the Nobel Prize for Chemistry in the year 1948?,Arne Tiselius,name,Nobel Prize
Who was awarded the Nobel Prize in Medicine for the year 1948?,Paul Hermann Müller,name,Nobel Prize
Which individual received the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who claimed the Nobel Prize for Medicine in the year 1948?,Paul Hermann Müller,name,Nobel Prize
"In 1948, who was the recipient of the Nobel Prize in Medicine?",Paul Hermann Müller,name,Nobel Prize
Who attained the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who was the laureate of the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who achieved the Nobel Prize in Medicine for the year 1948?,Paul Hermann Müller,name,Nobel Prize
Who secured the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who garnered the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who was honored with the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who was the Nobel Prize recipient for Medicine in the year 1948?,Paul Hermann Müller,name,Nobel Prize
Who won the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who was granted the Nobel Prize for Medicine in 1948?,Paul Hermann Müller,name,Nobel Prize
Who was bestowed with the Nobel Prize for Medicine in the year 1948?,Paul Hermann Müller,name,Nobel Prize
Who was awarded the Nobel Prize in Literature for the year 1948?,T. S. Eliot,name,Nobel Prize
Which individual received the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who claimed the Nobel Prize for Literature in the year 1948?,T. S. Eliot,name,Nobel Prize
"In 1948, who was the recipient of the Nobel Prize in Literature?",T. S. Eliot,name,Nobel Prize
Who attained the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who was the laureate of the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who achieved the Nobel Prize in Literature for the year 1948?,T. S. Eliot,name,Nobel Prize
Who secured the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who garnered the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who was honored with the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who was the Nobel Prize recipient for Literature in the year 1948?,T. S. Eliot,name,Nobel Prize
Who won the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who was granted the Nobel Prize for Literature in 1948?,T. S. Eliot,name,Nobel Prize
Who was bestowed with the Nobel Prize for Literature in the year 1948?,T. S. Eliot,name,Nobel Prize
Who was awarded the Nobel Prize in Peace for the year 1948?,None[c],name,Nobel Prize
Which individual received the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Peace in 1948?,None[c],name,Nobel Prize
Who claimed the Nobel Prize for Peace in the year 1948?,None[c],name,Nobel Prize
"In 1948, who was the recipient of the Nobel Prize in Peace?",None[c],name,Nobel Prize
Who attained the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who was the laureate of the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who achieved the Nobel Prize in Peace for the year 1948?,None[c],name,Nobel Prize
Who secured the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who garnered the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who was honored with the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who was the Nobel Prize recipient for Peace in the year 1948?,None[c],name,Nobel Prize
Who won the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who was granted the Nobel Prize for Peace in 1948?,None[c],name,Nobel Prize
Who was bestowed with the Nobel Prize for Peace in the year 1948?,None[c],name,Nobel Prize
Who was awarded the Nobel Prize in Economics for the year 1948?,No such prize exists.,name,Nobel Prize
Which individual received the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Economics in 1948?,No such prize exists.,name,Nobel Prize
Who claimed the Nobel Prize for Economics in the year 1948?,No such prize exists.,name,Nobel Prize
"In 1948, who was the recipient of the Nobel Prize in Economics?",No such prize exists.,name,Nobel Prize
Who attained the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who was the laureate of the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who achieved the Nobel Prize in Economics for the year 1948?,No such prize exists.,name,Nobel Prize
Who secured the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who garnered the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who was honored with the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who was the Nobel Prize recipient for Economics in the year 1948?,No such prize exists.,name,Nobel Prize
Who won the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who was granted the Nobel Prize for Economics in 1948?,No such prize exists.,name,Nobel Prize
Who was bestowed with the Nobel Prize for Economics in the year 1948?,No such prize exists.,name,Nobel Prize
Who was awarded the Nobel Prize in Physics for the year 1949?,Hideki Yukawa,name,Nobel Prize
Which individual received the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who claimed the Nobel Prize for Physics in the year 1949?,Hideki Yukawa,name,Nobel Prize
"In 1949, who was the recipient of the Nobel Prize in Physics?",Hideki Yukawa,name,Nobel Prize
Who attained the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who was the laureate of the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who achieved the Nobel Prize in Physics for the year 1949?,Hideki Yukawa,name,Nobel Prize
Who secured the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who garnered the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who was honored with the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who was the Nobel Prize recipient for Physics in the year 1949?,Hideki Yukawa,name,Nobel Prize
Who won the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who was granted the Nobel Prize for Physics in 1949?,Hideki Yukawa,name,Nobel Prize
Who was bestowed with the Nobel Prize for Physics in the year 1949?,Hideki Yukawa,name,Nobel Prize
Who was awarded the Nobel Prize in Chemistry for the year 1949?,William Giauque,name,Nobel Prize
Which individual received the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Chemistry in 1949?,William Giauque,name,Nobel Prize
Who claimed the Nobel Prize for Chemistry in the year 1949?,William Giauque,name,Nobel Prize
"In 1949, who was the recipient of the Nobel Prize in Chemistry?",William Giauque,name,Nobel Prize
Who attained the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who was the laureate of the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who achieved the Nobel Prize in Chemistry for the year 1949?,William Giauque,name,Nobel Prize
Who secured the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who garnered the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who was honored with the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who was the Nobel Prize recipient for Chemistry in the year 1949?,William Giauque,name,Nobel Prize
Who won the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who was granted the Nobel Prize for Chemistry in 1949?,William Giauque,name,Nobel Prize
Who was bestowed with the Nobel Prize for Chemistry in the year 1949?,William Giauque,name,Nobel Prize
Who was awarded the Nobel Prize in Medicine for the year 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Which individual received the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who claimed the Nobel Prize for Medicine in the year 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
"In 1949, who was the recipient of the Nobel Prize in Medicine?",Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who attained the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who was the laureate of the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who achieved the Nobel Prize in Medicine for the year 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who secured the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who garnered the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who was honored with the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who was the Nobel Prize recipient for Medicine in the year 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who won the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who was granted the Nobel Prize for Medicine in 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who was bestowed with the Nobel Prize for Medicine in the year 1949?,Walter Rudolf Hess;António Egas Moniz,name,Nobel Prize
Who was awarded the Nobel Prize in Literature for the year 1949?,William Faulkner,name,Nobel Prize
Which individual received the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Literature in 1949?,William Faulkner,name,Nobel Prize
Who claimed the Nobel Prize for Literature in the year 1949?,William Faulkner,name,Nobel Prize
"In 1949, who was the recipient of the Nobel Prize in Literature?",William Faulkner,name,Nobel Prize
Who attained the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who was the laureate of the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who achieved the Nobel Prize in Literature for the year 1949?,William Faulkner,name,Nobel Prize
Who secured the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who garnered the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who was honored with the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who was the Nobel Prize recipient for Literature in the year 1949?,William Faulkner,name,Nobel Prize
Who won the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who was granted the Nobel Prize for Literature in 1949?,William Faulkner,name,Nobel Prize
Who was bestowed with the Nobel Prize for Literature in the year 1949?,William Faulkner,name,Nobel Prize
Who was awarded the Nobel Prize in Peace for the year 1949?,John Boyd Orr,name,Nobel Prize
Which individual received the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who claimed the Nobel Prize for Peace in the year 1949?,John Boyd Orr,name,Nobel Prize
"In 1949, who was the recipient of the Nobel Prize in Peace?",John Boyd Orr,name,Nobel Prize
Who attained the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who was the laureate of the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who achieved the Nobel Prize in Peace for the year 1949?,John Boyd Orr,name,Nobel Prize
Who secured the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who garnered the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who was honored with the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who was the Nobel Prize recipient for Peace in the year 1949?,John Boyd Orr,name,Nobel Prize
Who won the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who was granted the Nobel Prize for Peace in 1949?,John Boyd Orr,name,Nobel Prize
Who was bestowed with the Nobel Prize for Peace in the year 1949?,John Boyd Orr,name,Nobel Prize
Who was awarded the Nobel Prize in Economics for the year 1949?,No such prize exists.,name,Nobel Prize
Which individual received the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Economics in 1949?,No such prize exists.,name,Nobel Prize
Who claimed the Nobel Prize for Economics in the year 1949?,No such prize exists.,name,Nobel Prize
"In 1949, who was the recipient of the Nobel Prize in Economics?",No such prize exists.,name,Nobel Prize
Who attained the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who was the laureate of the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who achieved the Nobel Prize in Economics for the year 1949?,No such prize exists.,name,Nobel Prize
Who secured the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who garnered the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who was honored with the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who was the Nobel Prize recipient for Economics in the year 1949?,No such prize exists.,name,Nobel Prize
Who won the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who was granted the Nobel Prize for Economics in 1949?,No such prize exists.,name,Nobel Prize
Who was bestowed with the Nobel Prize for Economics in the year 1949?,No such prize exists.,name,Nobel Prize
Who was awarded the Nobel Prize in Physics for the year 1950?,C. F. Powell,name,Nobel Prize
Which individual received the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Physics in 1950?,C. F. Powell,name,Nobel Prize
Who claimed the Nobel Prize for Physics in the year 1950?,C. F. Powell,name,Nobel Prize
"In 1950, who was the recipient of the Nobel Prize in Physics?",C. F. Powell,name,Nobel Prize
Who attained the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who was the laureate of the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who achieved the Nobel Prize in Physics for the year 1950?,C. F. Powell,name,Nobel Prize
Who secured the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who garnered the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who was honored with the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who was the Nobel Prize recipient for Physics in the year 1950?,C. F. Powell,name,Nobel Prize
Who won the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who was granted the Nobel Prize for Physics in 1950?,C. F. Powell,name,Nobel Prize
Who was bestowed with the Nobel Prize for Physics in the year 1950?,C. F. Powell,name,Nobel Prize
Who was awarded the Nobel Prize in Chemistry for the year 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Which individual received the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who claimed the Nobel Prize for Chemistry in the year 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
"In 1950, who was the recipient of the Nobel Prize in Chemistry?",Otto Diels;Kurt Alder,name,Nobel Prize
Who attained the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who was the laureate of the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who achieved the Nobel Prize in Chemistry for the year 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who secured the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who garnered the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who was honored with the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who was the Nobel Prize recipient for Chemistry in the year 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who won the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who was granted the Nobel Prize for Chemistry in 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who was bestowed with the Nobel Prize for Chemistry in the year 1950?,Otto Diels;Kurt Alder,name,Nobel Prize
Who was awarded the Nobel Prize in Medicine for the year 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Which individual received the Nobel Prize for Medicine in 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Who emerged as the winner of the Nobel Prize in Medicine in 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Who claimed the Nobel Prize for Medicine in the year 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
"In 1950, who was the recipient of the Nobel Prize in Medicine?",Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Who attained the Nobel Prize for Medicine in 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Who was the laureate of the Nobel Prize for Medicine in 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Who achieved the Nobel Prize in Medicine for the year 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Who secured the Nobel Prize for Medicine in 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
Who garnered the Nobel Prize for Medicine in 1950?,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,name,Nobel Prize
